-72 : 1181.49 ,-71 : 0 ,-70 : 0 ,-69 : 0 ,-68 : 0 ,-67 : 0 ,-66 : 0 ,-65 : 0 ,-64 : 1185.05 ,-63 : 0 ,-62 : 0 ,-61 : 0 ,-60 : 1185.74 ,-59 : 0 ,-58 : 0 ,-57 : 0 ,-56 : 1188.2 ,-55 : 0 ,-54 : 0 ,-53 : 0 ,-52 : 1189.54 ,-51 : 0 ,-50 : 0 ,-49 : 0 ,-48 : 1191.31 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 1192.82 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 1194.43 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 1196 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 1197.52 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,
-61 : 0 ,-60 : 958.025 ,-59 : 0 ,-58 : 0 ,-57 : 0 ,-56 : 960.397 ,-55 : 0 ,-54 : 0 ,-53 : 0 ,-52 : 961.726 ,-51 : 0 ,-50 : 0 ,-49 : 0 ,-48 : 963.489 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 964.995 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 966.624 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 968.194 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 969.705 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 971.122 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 972.427 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 973.546 ,-19 : 0 ,-18 : 0 ,
-61 : 0 ,-60 : 958.025 ,-59 : 0 ,-58 : 0 ,-57 : 0 ,-56 : 960.397 ,-55 : 0 ,-54 : 0 ,-53 : 0 ,-52 : 961.726 ,-51 : 0 ,-50 : 0 ,-49 : 0 ,-48 : 963.489 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 964.995 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 966.624 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 968.194 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 969.705 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 971.122 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 972.427 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 973.546 ,-19 : 0 ,-18 : 0 ,
-61 : 0 ,-60 : 958.025 ,-59 : 0 ,-58 : 0 ,-57 : 0 ,-56 : 960.397 ,-55 : 0 ,-54 : 0 ,-53 : 0 ,-52 : 961.726 ,-51 : 0 ,-50 : 0 ,-49 : 0 ,-48 : 963.489 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 964.995 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 966.624 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 968.194 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 969.705 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 971.122 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 972.427 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 973.546 ,-19 : 0 ,-18 : 0 ,
-61 : 0 ,-60 : 958.025 ,-59 : 0 ,-58 : 0 ,-57 : 0 ,-56 : 960.397 ,-55 : 0 ,-54 : 0 ,-53 : 0 ,-52 : 961.726 ,-51 : 0 ,-50 : 0 ,-49 : 0 ,-48 : 963.489 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 964.995 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 966.624 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 968.194 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 969.705 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 971.122 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 972.427 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 973.546 ,-19 : 0 ,-18 : 0 ,
-61 : 0 ,-60 : 958.025 ,-59 : 0 ,-58 : 0 ,-57 : 0 ,-56 : 960.397 ,-55 : 0 ,-54 : 0 ,-53 : 0 ,-52 : 961.726 ,-51 : 0 ,-50 : 0 ,-49 : 0 ,-48 : 963.489 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 964.995 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 966.624 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 968.194 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 969.705 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 971.122 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 972.427 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 973.546 ,-19 : 0 ,-18 : 0 ,
-50 : 0 ,-49 : 0 ,-48 : 735.342 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 736.881 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 738.484 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 740.062 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 741.576 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 743.044 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 744.322 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 745.464 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 746.434 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 747.227 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 747.79 ,-7 : 0 ,
-50 : 0 ,-49 : 0 ,-48 : 735.342 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 736.881 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 738.484 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 740.062 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 741.576 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 743.044 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 744.322 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 745.464 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 746.434 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 747.227 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 747.79 ,-7 : 0 ,
-50 : 0 ,-49 : 0 ,-48 : 735.342 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 736.881 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 738.484 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 740.062 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 741.576 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 743.044 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 744.322 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 745.464 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 746.434 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 747.227 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 747.79 ,-7 : 0 ,
-50 : 0 ,-49 : 0 ,-48 : 735.342 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 736.881 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 738.484 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 740.062 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 741.576 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 743.044 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 744.322 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 745.464 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 746.434 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 747.227 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 747.79 ,-7 : 0 ,
-50 : 0 ,-49 : 0 ,-48 : 735.342 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 736.881 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 738.484 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 740.062 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 741.576 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 743.044 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 744.322 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 745.464 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 746.434 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 747.227 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 747.79 ,-7 : 0 ,
-50 : 0 ,-49 : 0 ,-48 : 735.342 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 736.881 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 738.484 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 740.062 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 741.576 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 743.044 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 744.322 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 745.464 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 746.434 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 747.227 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 747.79 ,-7 : 0 ,
-50 : 0 ,-49 : 0 ,-48 : 735.342 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 736.881 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 738.484 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 740.062 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 741.576 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 743.044 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 744.322 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 745.464 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 746.434 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 747.227 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 747.79 ,-7 : 0 ,
-50 : 0 ,-49 : 0 ,-48 : 735.342 ,-47 : 0 ,-46 : 0 ,-45 : 0 ,-44 : 736.881 ,-43 : 0 ,-42 : 0 ,-41 : 0 ,-40 : 738.484 ,-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 740.062 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 741.576 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 743.044 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 744.322 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 745.464 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 746.434 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 747.227 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 747.79 ,-7 : 0 ,
-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 459.892 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 461.45 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 462.877 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 464.189 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 465.343 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 466.302 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 467.064 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 467.639 ,-7 : 0 ,-6 : 0 ,-5 : 0 ,-4 : 468.017 ,-3 : 0 ,-2 : 0 ,-1 : 0 ,0 : 468.118 ,1 : 0 ,2 : 0 ,3 : 0 ,4 : 468.006 ,
-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 459.892 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 461.45 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 462.877 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 464.189 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 465.343 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 466.302 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 467.064 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 467.639 ,-7 : 0 ,-6 : 0 ,-5 : 0 ,-4 : 468.017 ,-3 : 0 ,-2 : 0 ,-1 : 0 ,0 : 468.118 ,1 : 0 ,2 : 0 ,3 : 0 ,4 : 468.006 ,
-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 459.892 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 461.45 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 462.877 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 464.189 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 465.343 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 466.302 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 467.064 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 467.639 ,-7 : 0 ,-6 : 0 ,-5 : 0 ,-4 : 468.017 ,-3 : 0 ,-2 : 0 ,-1 : 0 ,0 : 468.118 ,1 : 0 ,2 : 0 ,3 : 0 ,4 : 468.006 ,
-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 459.892 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 461.45 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 462.877 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 464.189 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 465.343 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 466.302 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 467.064 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 467.639 ,-7 : 0 ,-6 : 0 ,-5 : 0 ,-4 : 468.017 ,-3 : 0 ,-2 : 0 ,-1 : 0 ,0 : 468.118 ,1 : 0 ,2 : 0 ,3 : 0 ,4 : 468.006 ,
-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 459.892 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 461.45 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 462.877 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 464.189 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 465.343 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 466.302 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 467.064 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 467.639 ,-7 : 0 ,-6 : 0 ,-5 : 0 ,-4 : 468.017 ,-3 : 0 ,-2 : 0 ,-1 : 0 ,0 : 468.118 ,1 : 0 ,2 : 0 ,3 : 0 ,4 : 468.006 ,
-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 459.892 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 461.45 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 462.877 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 464.189 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 465.343 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 466.302 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 467.064 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 467.639 ,-7 : 0 ,-6 : 0 ,-5 : 0 ,-4 : 468.017 ,-3 : 0 ,-2 : 0 ,-1 : 0 ,0 : 468.118 ,1 : 0 ,2 : 0 ,3 : 0 ,4 : 468.006 ,
-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 459.892 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 461.45 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 462.877 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 464.189 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 465.343 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 466.302 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 467.064 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 467.639 ,-7 : 0 ,-6 : 0 ,-5 : 0 ,-4 : 468.017 ,-3 : 0 ,-2 : 0 ,-1 : 0 ,0 : 468.118 ,1 : 0 ,2 : 0 ,3 : 0 ,4 : 468.006 ,
-39 : 0 ,-38 : 0 ,-37 : 0 ,-36 : 459.892 ,-35 : 0 ,-34 : 0 ,-33 : 0 ,-32 : 461.45 ,-31 : 0 ,-30 : 0 ,-29 : 0 ,-28 : 462.877 ,-27 : 0 ,-26 : 0 ,-25 : 0 ,-24 : 464.189 ,-23 : 0 ,-22 : 0 ,-21 : 0 ,-20 : 465.343 ,-19 : 0 ,-18 : 0 ,-17 : 0 ,-16 : 466.302 ,-15 : 0 ,-14 : 0 ,-13 : 0 ,-12 : 467.064 ,-11 : 0 ,-10 : 0 ,-9 : 0 ,-8 : 467.639 ,-7 : 0 ,-6 : 0 ,-5 : 0 ,-4 : 468.017 ,-3 : 0 ,-2 : 0 ,-1 : 0 ,0 : 468.118 ,1 : 0 ,2 : 0 ,3 : 0 ,4 : 468.006 ,
